ndate;c4_q;c5_q;c6_q;c7_q;c8_q;rtp;T;P;U;ff;ff10;Td;RRR;Wg;so2_n;so2_m;so2_ug
2017-11-11 01:08:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0108078602779036;0;0.40599998831749
2017-11-11 01:10:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00955096065687636;0;0.40599998831749
2017-11-11 01:12:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0108081511299436;0;0.40599998831749
2017-11-11 01:14:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0101571280121182;0;0.40599998831749
2017-11-11 01:16:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00935863848620405;0;0.40599998831749
2017-11-11 01:18:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.00982416857344409;0;0.40599998831749
2017-11-11 01:20:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.010875720026282;0;0.40599998831749
2017-11-11 01:22:00;0;0;10178.3317382812;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.010244281985797;0;0.40599998831749
2017-11-11 01:24:00;0;0;56503.8052408854;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0218372038798407;0;0.40599998831749
2017-11-11 01:26:00;0;0;55135.3099934896;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0240646570765724;0;0.40599998831749
2017-11-11 01:28:00;0;0;54521.6277669271;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0225217922357842;0;0.40599998831749
2017-11-11 01:30:00;0;0;53766.2602539063;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0194380764849484;0;0.40599998831749
2017-11-11 01:32:00;0;0;53321.7291992188;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0224954342702404;0;0.40599998831749
2017-11-11 01:34:00;0;0;54150.5555338542;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0236557040984432;0;0.40599998831749
2017-11-11 01:36:00;0;0;44989.1959960938;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.021650568729577;0;0.40599998831749
2017-11-11 01:38:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0219015487624953;0;0.40599998831749
2017-11-11 01:40:00;0;0;51547.3521809896;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.020199309863771;0;0.40599998831749
2017-11-11 01:42:00;0;0;51750.4385742188;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0213459498559435;0;0.40599998831749
2017-11-11 01:44:00;0;0;51382.2513346354;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0222645538548629;0;0.40599998831749
2017-11-11 01:46:00;0;0;51106.1535481771;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0191418057850872;0;0.40599998831749
